id,name,domain,subdomain
95,Class Rules and Expectations,DOMAIN_SETTING,Behavior and Attention
96,Regular Procedures and Predictable Routines,DOMAIN_SETTING,Behavior and Attention
97,Alternative Activities,DOMAIN_SETTING,Behavior and Attention
98,Reduced Sources of Distractions,DOMAIN_SETTING,Behavior and Attention
99,Preferential Seating,DOMAIN_SETTING,Behavior and Attention
100,Noise buffers,DOMAIN_SETTING,Behavior and Attention
101,Small Group,DOMAIN_SETTING,Behavior and Attention
102,Individual Settings,DOMAIN_SETTING,Behavior and Attention
103,Increased/Decreased Opportunity for Movement,DOMAIN_SETTING,Behavior and Attention
104,Compartmentalized Containers,DOMAIN_SETTING,Organization
105,Diagrams,DOMAIN_SETTING,Organization
106,Checklists,DOMAIN_SETTING,Organization
107,Color-Coded Binders,DOMAIN_SETTING,Organization
108,Limited Materials,DOMAIN_SETTING,Organization
109,Access To Study Materials,DOMAIN_SETTING,Organization
110,Extended time,DOMAIN_SCHEDULING,Time Allocation
111,Breaks,DOMAIN_SCHEDULING,Time Allocation
112,Schedule Adjustments,DOMAIN_SCHEDULING,Time Allocation
113,Predictable Routines,DOMAIN_SCHEDULING,Time Management
114,Separating Tasks Into Parts,DOMAIN_SCHEDULING,Time Management
115,Timelines,DOMAIN_SCHEDULING,Time Management
116,Checklists of Tasks,DOMAIN_SCHEDULING,Time Management
117,Assignment Planners,DOMAIN_SCHEDULING,Time Management
118,Visual Schedules,DOMAIN_SCHEDULING,Time Management
119,Electronic Devices,DOMAIN_SCHEDULING,Time Management
